test_index,happy_predicted_classes,happy_predicted_classes_percent,happy_trials,happy_chance,sad_predicted_classes,sad_predicted_classes_percent,sad_trials,sad_chance,winner,test_index
10,"[1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  0.  0.  0.5 1.  1.  1.  1.
 1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.
 1.  1.  1.  1.  0.5 0.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 0.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1. ]",0.881944444,[1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.916666667,"[1.  1.  0.5 0.5 0.5 1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  1.  1.  1.
 1.  1.  1.  1.  0.5 1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  0.5 0.5 1.
 1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  0.5 0.5 0.5 1.  1.
 1.  0.5 1.  1.  0.  1.  0.5 1.  1.  0.  0.  1.  1.  1.  0.5]",0.81884058,[1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1.],0.913043478,TRUE,10
11,"[1.  1.  0.5 1.  0.5 1.  1.  1.  1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.
 0.  1.  0.5 1.  0.5 0.  1.  1.  1.  1.  1.  1.  0.  0.5 1.  1.  1.  1.
 1.  1.  0.5 0.5 0.5 1.  1.  0.5 0.  1.  0.  1.  1.  1.  1.  1.  0.5 1.
 1.  1.  1.  0.  0.  0.5 0.5 0.5 0.5]",0.714285714,[1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0.],0.619047619,"[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  0.5 0.5 0.5 1.  1.  1.  1.
 1.  1.  0.5 0.5 0.5 1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  0.
 0.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.
 1.  0.5 1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.5
 1.  1.  1.  1.  1.  0.  0.  0.  0.5 0.  1.  0. ]",0.779761905,"[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 0. 0.]",0.785714286,FALSE,11
12,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.104166667,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0. ]",0.012820513,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,TRUE,12
13,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.5 0.  0.5 0.5 0.  0.5 0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0. ]",0.012820513,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,TRUE,13
14,"[0.  1.  1.  0.5 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.072916667,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0625,"[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.
 0.5 0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.5 0.5 0.  0.  0.  0.  0.  0.
 0.  0.  0. ]",0.08974359,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,FALSE,14
15,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.
 0.5 0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.05,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.
 1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.5 0.5 0.  0.5
 0.  0.5 0.5 0.  0.5 0.5]",0.166666667,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],0.071428571,FALSE,15
16,"[1.  1.  1.  1.  0.5 1.  1.  0.5 1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.
 0.  1.  0. ]",0.858974359,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.923076923,"[1.  1.  1.  1.  0.5 1.  1.  0.  1.  1.  1.  1.  0.5 1.  1.  1.  0.5 1.
 0.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.5 1. ]",0.833333333,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.916666667,TRUE,16
17,"[0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1.  0.  1.  1.  1.  1.
 1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1. ]",0.855555556,[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.8,"[1.  1.  1.  1.  0.5 1.  1.  0.5 1.  1.  1.  1.  1.  0.  1.  1.  0.5 1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  0. ]",0.922222222,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1,FALSE,17
18,"[1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  0.5 1.  1.
 1.  1.  1.  1.  0.5 1.  0.5 0.5 1.  0.5 0.5 1.  1.  1.  1.  0.  0.5 1. ]",0.819444444,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.916666667,"[1.  1.  1.  1.  0.  0.  1.  0.5 1.  1.  0.5 1.  1.  0.5 1.  1.  1.  1.
 1.  1.  1.  1.  0.  0.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  0.  1. ]",0.763888889,[1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1.],0.75,TRUE,18
19,"[1.  1.  1.  1.  0.5 1.  1.  0.5 1.  1.  1.  1.  0.5 0.5 1.  1.  0.5 1.
 0.5 0.5 1.  1.  1.  1.  0.5 0.  1.  0.5 1.  1.  0.5 0.5 0.5 0.5 1.  1.
 0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1. ]",0.81372549,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1.],0.882352941,"[1.  0.5 0.5 1.  0.5 1.  0.5 0.5 1.  1.  1.  1.  0.5 0.  1.  0.5 1.  1.
 1.  1.  1.  1.  0.  1.  1.  1.  1. ]",0.796296296,[1. 1. 1. 1. 0. 1. 1. 1. 1.],0.888888889,TRUE,19
