test_index,happy_predicted_classes,happy_predicted_classes_percent,happy_trials,happy_chance,sad_predicted_classes,sad_predicted_classes_percent,sad_trials,sad_chance,winner,test_index
10,"[0.5 0.5 1.  0.5 0.5 0.5 0.  0.5 0.5 0.5 0.5 1.  0.5 0.5 0.  0.  0.  0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.  1.  1.  0.5 0.5 1.  0.  0.  1.  0.  0.  0.
 0.5 0.5 0.  0.  0.  1.  1.  0.  1.  0.5 0.5 1.  1.  0.  0.  1.  1.  1.
 1.  0.  1.  1.  1.  1.  1.  1.  1.  0.5 0.  1.  1.  1.  1.  0.  1.  1. ]",0.5625,[1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1.],0.5,"[0.5 0.5 0.5 0.5 0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.
 1.  1.  1.  0.5 1.  0.  0.  1.  1.  1.  1.  1.  1.  0.5 0.5 0.5 1.  0.5
 1.  1.  1.  1.  1.  0.5 0.5 1.  1.  1.  1.  1.  1.  0.5 0.5 0.5 1.  1.
 1.  0.5 1.  1.  0.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  0.5]",0.731884058,[0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.739130435,FALSE,10
11,"[1.  1.  1.  1.  1.  0.  1.  0.5 0.  1.  1.  0.  1.  1.  1.  0.  0.5 1.
 1.  1.  1.  1.  1.  1.  1.  0.5 0.  1.  1.  1.  1.  0.  1.  1.  0.5 0.
 1.  1.  0.  1.  1.  0.  0.  0.5 1.  0.  1.  1.  0.  0.  0.  0.  0.5 0.
 0.  0.  0.  0.  0.  0.5 0.5 0.5 0.5]",0.587301587,[1. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.],0.523809524,"[1.  0.  0.5 1.  1.  1.  1.  1.  1.  1.  0.  0.5 1.  1.  1.  1.  0.  1.
 1.  0.  0.5 1.  0.  1.  1.  0.  1.  0.  1.  1.  1.  1.  1.  0.5 0.5 0.5
 0.5 0.  1.  1.  1.  0.  0.  0.  0.5 0.  0.  1.  0.  0.  1.  1.  1.  0.5
 1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  0.  1.  1.  1.  0.5
 1.  0.  1.  1.  1.  0.  0.  1.  0.5 0.  1.  0. ]",0.678571429,"[0. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 0. 0.]",0.642857143,FALSE,11
12,"[0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.
 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.041666667,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0. ]",0.025641026,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,TRUE,12
13,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.
 0.  0.  0.5 0.5 0.5 0.5 0.  0.5 0.  0.5 0.  0.  0.  0.5 0.5 0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.09375,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.5 0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0. ]",0.038461538,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,TRUE,13
14,"[0.  0.5 0.5 0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.09375,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.5 0.5 0.  1.  1.  1.  0.  0.
 0.  0.  0. ]",0.128205128,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.076923077,FALSE,14
15,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.
 0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.083333333,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.5 0.  0.5
 0.  0.5 0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.5 1.  0.5 0.5 0.  0.5
 1.  0.5 0.5 0.  0.5 0.5]",0.202380952,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0.],0.142857143,FALSE,15
16,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0.]",0.897435897,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.923076923,"[1.  1.  1.  1.  0.  1.  0.5 0.5 0.  0.  0.  0.  1.  0.5 1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1. ]",0.805555556,[1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],0.833333333,TRUE,16
17,"[0.5 0.5 1.  0.5 0.5 1.  1.  1.  0.  1.  0.5 1.  0.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  0.  1.  0.  1.  1.  1.
 1.  1.  1.  1.  1.  0.  1.  0.  1. ]",0.788888889,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1.],0.933333333,"[0.5 0.5 1.  0.5 0.5 0.5 1.  0.  1.  1.  0.5 1.  1.  0.5 0.  1.  1.  1.
 0.  1.  1.  1.  1.  0.  1.  1.  1.  0.5 0.  1.  1.  0.  0.  0.  1.  1.
 1.  1.  1.  1.  1.  0.  1.  1.  1. ]",0.711111111,[1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1.],0.733333333,TRUE,17
18,"[1.  0.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  0.  1.  1.  0.  0.  1.
 0.  1.  1.  1.  0.5 0.5 0.5 0.5 1.  0.5 0.5 1.  0.  1.  1.  0.  0.5 0. ]",0.652777778,[1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0.],0.833333333,"[1.  0.5 1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.
 1.  1.  1.  0.  1.  1.  0.  0.  1.  1.  1.  1.  0.  1.  1.  1.  0.  1. ]",0.791666667,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.],0.916666667,FALSE,18
19,"[1.  1.  1.  1.  1.  1.  0.5 1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  0.  0.  0.  0.
 0.  0.  0.  1.  1.  1.  1.  1.  1.  0.  0.  1.  1.  1.  1. ]",0.784313725,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 0. 1.],0.823529412,"[0.5 1.  1.  1.  0.5 1.  0.5 0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  0.  1.  1.  1.  1. ]",0.87037037,[1. 1. 0. 1. 1. 1. 1. 1. 1.],0.888888889,FALSE,19
,,,,,,,,,11,
